year,day,stars,position,seconds
2015,5,2,93,1632
2015,5,2,94,1632
2015,5,2,95,1634
2015,5,2,96,1635
2015,5,2,97,1643
2015,5,2,98,1652
2015,5,2,99,1659
2015,5,2,100,1665
2015,5,1,1,69
2015,5,1,2,171
2015,5,1,3,178
2015,5,1,4,209
2015,5,1,5,214
2015,5,1,6,217
2015,5,1,7,233
2015,5,1,8,245
2015,5,1,9,252
2015,5,1,10,271
2015,5,1,11,284
2015,5,1,12,292
2015,5,1,13,320
2015,5,1,14,327
2015,5,1,15,341
2015,5,1,16,342
2015,5,1,17,346
2015,5,1,18,348
2015,5,1,19,350
2015,5,1,20,363
2015,5,1,21,363
2015,5,1,22,383
2015,5,1,23,384
2015,5,1,24,388
2015,5,1,25,389
2015,5,1,26,397
2015,5,1,27,407
2015,5,1,28,410
2015,5,1,29,427
2015,5,1,30,442
2015,5,1,31,444
2015,5,1,32,444
2015,5,1,33,459
2015,5,1,34,471
2015,5,1,35,479
2015,5,1,36,481
2015,5,1,37,493
2015,5,1,38,493
2015,5,1,39,496
2015,5,1,40,498
2015,5,1,41,502
2015,5,1,42,510
2015,5,1,43,513
2015,5,1,44,514
2015,5,1,45,528
2015,5,1,46,533
2015,5,1,47,534
2015,5,1,48,567
2015,5,1,49,567
2015,5,1,50,567
2015,5,1,51,569
2015,5,1,52,575
2015,5,1,53,579
2015,5,1,54,584
2015,5,1,55,588
2015,5,1,56,603
2015,5,1,57,609
2015,5,1,58,610
2015,5,1,59,610
2015,5,1,60,620
2015,5,1,61,622
2015,5,1,62,622
2015,5,1,63,626
2015,5,1,64,632
2015,5,1,65,643
2015,5,1,66,644
2015,5,1,67,647
2015,5,1,68,649
2015,5,1,69,653
2015,5,1,70,662
2015,5,1,71,665
2015,5,1,72,666
2015,5,1,73,668
2015,5,1,74,679
2015,5,1,75,680
2015,5,1,76,688
2015,5,1,77,694
2015,5,1,78,698
2015,5,1,79,710
2015,5,1,80,727
2015,5,1,81,729
2015,5,1,82,730
2015,5,1,83,739
2015,5,1,84,743
2015,5,1,85,752
2015,5,1,86,758
2015,5,1,87,765
2015,5,1,88,778
2015,5,1,89,779
2015,5,1,90,788
2015,5,1,91,793
2015,5,1,92,796
2015,5,1,93,813
2015,5,1,94,817
2015,5,1,95,818
2015,5,1,96,821
2015,5,1,97,826
2015,5,1,98,827
2015,5,1,99,835
2015,5,1,100,839
2015,6,2,1,283
2015,6,2,2,508
2015,6,2,3,628
2015,6,2,4,629
2015,6,2,5,692
2015,6,2,6,729
2015,6,2,7,730
2015,6,2,8,765
2015,6,2,9,787
2015,6,2,10,788
2015,6,2,11,794
2015,6,2,12,795
2015,6,2,13,822
2015,6,2,14,828
2015,6,2,15,837
2015,6,2,16,841
2015,6,2,17,844
2015,6,2,18,844
2015,6,2,19,849
2015,6,2,20,856
2015,6,2,21,882
2015,6,2,22,885
2015,6,2,23,894
2015,6,2,24,919
2015,6,2,25,927
2015,6,2,26,931
2015,6,2,27,948
2015,6,2,28,951
2015,6,2,29,956
2015,6,2,30,957
2015,6,2,31,964
2015,6,2,32,966
2015,6,2,33,967
2015,6,2,34,990
2015,6,2,35,995
2015,6,2,36,999
2015,6,2,37,1010
2015,6,2,38,1032
2015,6,2,39,1034
2015,6,2,40,1039
2015,6,2,41,1046
2015,6,2,42,1059
2015,6,2,43,1071
2015,6,2,44,1087
2015,6,2,45,1088
2015,6,2,46,1114
2015,6,2,47,1114
2015,6,2,48,1126
2015,6,2,49,1150
2015,6,2,50,1154
2015,6,2,51,1157
2015,6,2,52,1159
2015,6,2,53,1160
2015,6,2,54,1182
2015,6,2,55,1185
2015,6,2,56,1195
2015,6,2,57,1196
2015,6,2,58,1199
2015,6,2,59,1204
2015,6,2,60,1218
2015,6,2,61,1220
2015,6,2,62,1235
2015,6,2,63,1239
2015,6,2,64,1273
2015,6,2,65,1275
2015,6,2,66,1279
2015,6,2,67,1311
2015,6,2,68,1311
2015,6,2,69,1316
2015,6,2,70,1318
2015,6,2,71,1322
2015,6,2,72,1330
2015,6,2,73,1363
2015,6,2,74,1363
2015,6,2,75,1370
2015,6,2,76,1373
2015,6,2,77,1377
2015,6,2,78,1389
2015,6,2,79,1407
2015,6,2,80,1418
2015,6,2,81,1441
2015,6,2,82,1447
2015,6,2,83,1458
2015,6,2,84,1462
2015,6,2,85,1464
2015,6,2,86,1500
2015,6,2,87,1508
2015,6,2,88,1511
2015,6,2,89,1512
2015,6,2,90,1518
2015,6,2,91,1536
2015,6,2,92,1544
2015,6,2,93,1544
2015,6,2,94,1549
2015,6,2,95,1549
2015,6,2,96,1564
2015,6,2,97,1568
2015,6,2,98,1581
2015,6,2,99,1581
2015,6,2,100,1581
2015,6,1,1,213
2015,6,1,2,394
2015,6,1,3,423
2015,6,1,4,466
2015,6,1,5,500
2015,6,1,6,505
2015,6,1,7,542
2015,6,1,8,547
2015,6,1,9,578
2015,6,1,10,586
2015,6,1,11,588
2015,6,1,12,591
2015,6,1,13,603
2015,6,1,14,623
2015,6,1,15,644
2015,6,1,16,646
2015,6,1,17,655
2015,6,1,18,688
2015,6,1,19,695
2015,6,1,20,705
2015,6,1,21,707
2015,6,1,22,718
2015,6,1,23,723
2015,6,1,24,739
2015,6,1,25,744
2015,6,1,26,752
2015,6,1,27,753
2015,6,1,28,762
2015,6,1,29,780
2015,6,1,30,783
2015,6,1,31,791
2015,6,1,32,830
2015,6,1,33,831
2015,6,1,34,832
2015,6,1,35,836
2015,6,1,36,840
2015,6,1,37,847
2015,6,1,38,851
2015,6,1,39,854
2015,6,1,40,856
2015,6,1,41,860
2015,6,1,42,862
2015,6,1,43,882
2015,6,1,44,885
2015,6,1,45,889
2015,6,1,46,891
2015,6,1,47,892
2015,6,1,48,896
2015,6,1,49,909
2015,6,1,50,914
2015,6,1,51,916
2015,6,1,52,935
2015,6,1,53,946
2015,6,1,54,956
2015,6,1,55,968
2015,6,1,56,977
2015,6,1,57,982
2015,6,1,58,985
2015,6,1,59,992
2015,6,1,60,992
2015,6,1,61,993
2015,6,1,62,996
2015,6,1,63,999
2015,6,1,64,1010
2015,6,1,65,1024
2015,6,1,66,1050
2015,6,1,67,1060
2015,6,1,68,1060
2015,6,1,69,1065
2015,6,1,70,1094
2015,6,1,71,1099
2015,6,1,72,1123
2015,6,1,73,1132
2015,6,1,74,1134
2015,6,1,75,1145
2015,6,1,76,1150
2015,6,1,77,1154
2015,6,1,78,1174
2015,6,1,79,1177
2015,6,1,80,1178
2015,6,1,81,1184
2015,6,1,82,1194
2015,6,1,83,1203
2015,6,1,84,1212
2015,6,1,85,1215
2015,6,1,86,1216
2015,6,1,87,1220
2015,6,1,88,1232
2015,6,1,89,1235
2015,6,1,90,1240
2015,6,1,91,1252
2015,6,1,92,1252
2015,6,1,93,1264
2015,6,1,94,1267
2015,6,1,95,1283
2015,6,1,96,1297
2015,6,1,97,1299
2015,6,1,98,1305
2015,6,1,99,1311
2015,6,1,100,1313
2015,7,2,1,705
2015,7,2,2,862
2015,7,2,3,1138
2015,7,2,4,1276
2015,7,2,5,1354
2015,7,2,6,1383
2015,7,2,7,1488
2015,7,2,8,1523
2015,7,2,9,1534
2015,7,2,10,1555
2015,7,2,11,1561
2015,7,2,12,1591
2015,7,2,13,1610
2015,7,2,14,1619
2015,7,2,15,1627
